Dominican Republic, 22
Philippines, 3712
Ethiopia, 122
Guatemala, 1044
Germany, 95
United States, 304
Switzerland, 11
Ireland, 65
Paraguay, 35
Argentina, 120
Jordan, 34
Brazil, 93
United Kingdom, 2313
Uruguay, 5
Greece, 70
Netherlands, 19
Canada, 15
Zambia, 25
Iran, 286
Sweden, 13
Turkey, 2053
Cambodia, 86
Israel, 431
Taiwan, 8
Egypt, 1196
West Bank and Gaza Strip, 978
Czech Republic, 7
Italy, 177
Austria, 15
Vietnam, 2
Colombia, 3719
Spain, 737
France, 207
Australia, 16
Sudan, 493
Cyprus, 20
Serbia, 65
Mexico, 277
Lebanon, 891
Botswana, 4
Thailand, 1721
South Korea, 6
Syria, 1674
United Arab Emirates, 8
India, 5763
Pakistan, 7011
Kenya, 383
El Salvador, 1601
Sri Lanka, 1990
Nicaragua, 823
Namibia, 63
Nigeria, 3400
Japan, 22
Portugal, 21
Ecuador, 41
Barbados, 2
South Africa, 905
Iraq, 17066
Venezuela, 66
Democratic Republic of the Congo, 679
Mauritania, 8
Yemen, 2505
Djibouti, 13
Indonesia, 323
Malta, 5
Malaysia, 29
Russia, 1037
Belgium, 30
Rhodesia, 40
Kuwait, 17
Guyana, 9
Mozambique, 319
Morocco, 24
Myanmar, 281
Jamaica, 19
Peru, 2222
Afghanistan, 11494
Costa Rica, 9
Chile, 154
Panama, 17
Angola, 213
Tanzania, 22
Gabon, 3
Uganda, 279
Honduras, 101
Saudi Arabia, 210
Tunisia, 77
Bolivia, 28
Somalia, 2837
Bangladesh, 477
Grenada, 4
Zimbabwe, 51
Guadeloupe, 5
Guinea, 16
Central African Republic, 226
Lesotho, 9
Dominica, 1
Republic of Congo, 1
Qatar, 4
Bulgaria, 15
Haiti, 96
French Guiana, 1
New Zealand, 3
Libya, 973
Burkina Faso, 190
New Caledonia, 6
Romania, 3
Swaziland, 3
Niger, 170
Nepal, 286
Denmark, 5
Togo, 17
Western Sahara, 1
Suriname, 11
Norway, 5
Maldives, 4
Senegal, 87
Laos, 10
Papua New Guinea, 24
China, 114
Algeria, 1952
Liberia, 15
Poland, 8
Mali, 512
Belize, 2
Singapore, 2
Sierra Leone, 53
Croatia, 17
Cameroon, 403
Georgia, 88
Chad, 79
Madagascar, 8
Azerbaijan, 25
Burundi, 399
Bahrain, 31
Cuba, 5
Hong Kong, 3
Kazakhstan, 16
Fiji, 2
Rwanda, 127
Armenia, 9
Ivory Coast, 42
Albania, 20
Ukraine, 419
Bosnia-Herzegovina, 29
Moldova, 6
Equatorial Guinea, 2
Malawi, 3
Tajikistan, 122
Comoros, 1
Republic of the Congo, 25
Latvia, 2
Ghana, 10
Trinidad and Tobago, 5
Slovenia, 1
Gambia, 1
North Korea, 1
Slovak Republic, 7
Macedonia, 20
Estonia, 3
Eritrea, 5
Hungary, 4
Bahamas, 1
Macau, 1
Lithuania, 1
Belarus, 2
Uzbekistan, 16
Solomon Islands, 3
Kosovo, 48
Kyrgyzstan, 10
East Timor, 5
St. Lucia, 1
Montenegro, 2
International, 1
Guinea-Bissau, 7
Bhutan, 3
Finland, 3
South Sudan, 169
Turkmenistan, 1
Benin, 1
